id	type	name	description	target	belongs_to	pc	ts_pc	PC3	VCAP	A375	A549	HA1E	HCC515	HT29	MCF7	HEPG2	summary
BRD-A09094913	CP	strychnine	acetylcholine receptor antagonist	GLRA1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA10, CHRNA9, GLRA2, GLRA3, GLRB		0.00, 0.00	0.85, 0.19	8.00	-33.61	-14.63	-52.40	-24.90	35.95	57.93	-26.76	-52.20	-13.48
BRD-A55393291	CP	testosterone	androgen receptor (AR) agonist, androgen receptor agonist, testosterone receptor agonist	AR, CYP19A1, CYP2C19, CYP2C8, CYP3A5	Androgen receptor modulator	10.00, 10.00	0.84, 0.31	-17.02	-98.06	65.14	99.56	38.83	94.18	32.69	-34.68	18.15	29.75
BRD-A93255169	CP	thalidomide	angiogenesis inhibitor, cereblon inhibitor, tumor necrosis factor production inhibitor, tumor necrosis factor receptor antagonist, tumor necrosis factor receptor inhibitor	TNF, CRBN, CYP1A2, CYP2B6, CYP2C19, CYP3A5, FGFR2, NFKB1, ORM1, ORM2, PTGS2		20.00, 0.00	1.03, 0.41	57.13	29.11	56.31	20.61	95.90	-65.81	95.39	70.98	39.67	59.14
BRD-K41731458	CP	triclosan	DNA methyltransferase inhibitor, enoyl-(acyl-carrier protein) reductase Fabl inhibitor, enoyl-[acyl-carrier-protein] reductase [NADH] inhibitor	DNMT1		0.00, 0.00	1.36, 0.30	-39.88	-90.78	-90.49	-41.03	40.79	-98.99	-32.17	-74.16	-98.52	-86.66
BRD-K63675182	CP	triflupromazine	acetylcholine receptor ligand, dopamine receptor	HTR2B, CHRM1, CHRM2, CHRNA7, DRD1, DRD2	Dopamine receptor antagonist	0.00, 0.00	1.53, 0.61	-98.63	-24.87	40.32	-94.28	-82.05	-42.06	-45.38	-96.16	20.52	-87.76
BRD-A19195498	CP	trimipramine	adrenergic transmitter uptake inhibitor, dopamine receptor, norepinephrine transporter inhibitor, serotonin transporter (SERT) inhibitor, serotonin uptake inhibitor, tricyclic antidepressant, tricyclic antidepressant (TCA)	SLC6A2, SLC6A4, SLC6A3, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR1D, HTR2A, HTR2C, HTR3A	Norepinephrine reuptake inhibitor, Tricyclic antidepressant	10.00, 0.00	1.33, 0.50	96.72	-96.64	-14.57	-9.94	61.40	-67.26	16.08	-31.74	-93.44	-27.61
BRD-K99621550	CP	tubocurarine	acetylcholine receptor antagonist	CHRNA2, HTR3A, ACHE, HTR3B, KCNN1, KCNN2, KCNN3, ZACN		10.00, 0.00	0.68, 0.24	89.77	86.46	49.90	-92.61	97.35	18.52	-24.58	-45.32	10.39	71.39
BRD-A51714012	CP	venlafaxine	serotonin reuptake inhibitor, adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, norepinephrine reputake inhibitor, serotonin uptake inhibitor	SLC6A2, SLC6A4, CYP2C19, SLC6A3		10.00, 10.00	0.63, 0.15	32.10	98.31	52.55	-37.42	-85.21	17.75	-82.85	26.45	-37.39	16.69
BRD-K45117373	CP	Y-26763	potassium channel activator, potassium channel agonist	ABCC9, KCNJ8	Potassium channel activator	0.00, 0.00	0.83, 0.22	-28.73	-30.61	-13.58	84.96	-66.13	60.28	12.84	-39.94	-31.71	-10.25
BRD-K42095107	CP	daidzein	estrogen receptor agonist	ESRRA, ESRRB, ESRRG, TRPC5	Estrogen receptor agonist	0.00, 0.00	1.38, 0.39	80.10	-16.02	-32.45	-41.93	92.67	-42.40	-32.95	30.07	NaN	-6.24
BRD-K61269089	CP	daphnetin	protein kinase inhibitor			0.00, 0.00	1.07, 0.32	-78.60	93.79	-30.13	82.23	50.96	-77.77	-47.09	-99.93	NaN	-78.06
BRD-A47494775	CP	dipivefrine	adrenergic receptor agonist	ADRA1A, ACHE, ADRA2A, ADRB2, BCHE		0.00, 0.00	0.67, 0.17	65.93	-95.08	8.70	-68.07	-49.61	-35.77	-88.00	11.18	NaN	-20.62
BRD-A18620900	CP	estriol	estrogen receptor agonist, estrogen receptor antagonist	ESR1, ESR2	Estrogen receptor agonist	11.11, 0.00	1.24, 0.34	44.41	-14.22	97.25	48.20	-52.65	-73.58	-17.61	14.11	NaN	13.44
BRD-A02367930	CP	ethinyl-estradiol	DNA directed DNA polymerase stimunlant, estrogen receptor agonist, estrogenic component in oral contraceptives	CYP2C8, ESR1, ESR2, NR1I2	Estrogen receptor agonist	11.11, 0.00	1.19, 0.38	23.05	-45.80	72.81	-33.05	96.09	36.12	-78.35	52.35	NaN	21.33
BRD-A61392169	CP	eliprodil	glutamate receptor antagonist	GRIN1, GRIN2B		0.00, 0.00	0.95, 0.35	-42.85	26.58	26.48	-39.90	-81.89	-68.06	-50.56	72.53	NaN	-32.52
BRD-A30205217	CP	ethotoin	anticonvulsant	SCN5A		11.11, 0.00	1.16, 0.38	61.01	44.87	96.99	-32.39	93.30	34.02	33.43	-90.82	NaN	62.78
BRD-A09925278	CP	etilefrine	adrenergic receptor agonist	ADRA1A, ADRB1		44.44, 44.44	0.82, 0.22	-55.53	98.29	99.63	98.08	46.22	-32.24	12.73	75.42	NaN	97.85
BRD-A18419789	CP	etoposide	topoisomerase inhibitor, cell cycle inhibitor, DNA inhibitor, DNA intercalating drug, DNA repair enzyme inhibitor	TOP2A, CYP2E1, CYP3A5, TOP2B		0.00, 0.00	2.66, 0.72	-99.98	-99.43	-99.08	-99.66	-99.82	-99.76	-99.87	-99.96	NaN	-99.61
BRD-K61951118	CP	FG-7142	GABA benzodiazepine site receptor inverse agonist			11.11, 11.11	0.82, 0.26	26.70	10.63	88.54	-37.11	99.26	-71.62	-17.94	15.50	NaN	10.36
BRD-A13133631	CP	fluorometholone	corticosteroid agonist, glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist	0.00, 0.00	1.45, 0.72	21.18	-94.85	-69.92	-97.52	-63.53	-96.48	93.10	83.03	NaN	-94.79
BRD-K11129031	CP	gemfibrozil	lipase clearing factor inhibitor, lipoprotein lipase activator, PPAR receptor agonist	PPARA, CYP2C8, LPL, SLCO1B1, SLCO1B3, SLCO2B1		11.11, 11.11	0.83, 0.24	42.71	-71.53	-26.05	77.14	99.88	9.56	-71.01	70.55	NaN	56.52
BRD-K26117720	CP	gingerol	nitric oxide synthase inhibitor			11.11, 11.11	0.75, 0.14	87.98	17.56	97.86	46.60	-63.23	50.73	-12.99	-75.06	NaN	7.03
BRD-A73859745	CP	glycodeoxycholic-acid	apoptosis activator			0.00, 0.00	0.91, 0.24	90.92	75.96	37.74	42.48	13.43	94.75	-8.21	-50.10	NaN	71.57
BRD-A09539288	CP	homatropine	acetylcholine receptor antagonist	CES1, CHRM1		0.00, 0.00	1.42, 0.52	-62.85	-53.37	-86.74	-42.56	-7.69	-38.22	17.85	15.59	NaN	-37.26
BRD-A78303415	CP	hyoscyamine	acetylcholine receptor inhibitor	CHRM1, CHRM2, CHRM3, CHRM4		0.00, 0.00	1.51, 0.40	14.15	-31.82	62.38	22.18	-92.90	46.04	49.95	45.47	NaN	9.68
BRD-A63998256	CP	helveticoside	ATPase inhibitor	ATP1A1	ATPase inhibitor	0.00, 0.00	2.44, 0.81	25.46	-45.79	34.48	-79.86	91.14	-57.13	-79.66	90.42	NaN	-59.60
BRD-A47065382	CP	huperzine-a	acetylcholinesterase inhibitor, glutamate receptor antagonist	ACHE		11.11, 11.11	1.06, 0.24	35.94	99.66	9.43	30.44	-50.63	81.98	-60.41	-34.15	NaN	7.27
BRD-A98299281	CP	velnacrine	calcium channel activator	ACHE		0.00, 0.00	0.89, 0.18	17.82	-41.93	-33.20	78.16	-89.81	-72.96	-83.37	18.27	NaN	-40.67
BRD-A37776212	CP	ICI-204448	opioid receptor agonist	OPRK1		11.11, 11.11	0.93, 0.23	83.09	20.96	39.69	14.75	99.98	76.82	-36.02	-3.64	NaN	37.89
BRD-K38436528	CP	imipramine	norepinephrine reputake inhibitor, serotonin reuptake inhibitor, Sodium Channel  Blockers	SLC6A2, SLC6A4, CHRM2, ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM3, CHRM4, CHRM5, CYP2C19, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7, KCND2, KCND3, KCNH1, KCNH2, SLC6A3	Norepinephrine reuptake inhibitor	0.00, 0.00	0.58, 0.05	14.25	47.25	-23.87	58.65	-92.95	-66.27	-33.68	-47.14	NaN	-14.53
BRD-A95869247	CP	indapamide	carbonic anhydrase inhibitor, thiazide diuretic	KCNQ1, CA7, KCNE1, SLC12A3	Na-K-Cl transporter inhibitor	22.22, 11.11	1.00, 0.23	73.02	-19.55	-31.26	99.59	76.94	96.96	-28.79	82.48	NaN	65.15
BRD-K86509404	CP	iso-olomoucine	cyclin-related kinase inhibitor			0.00, 0.00	1.30, 0.28	33.40	-9.92	11.06	15.61	-66.41	94.59	-98.06	47.39	NaN	10.51
BRD-A52326238	CP	isogedunin	HSP inhibitor			0.00, 0.00	1.13, 0.20	27.92	-49.97	31.10	-39.66	65.64	-32.87	-10.01	-59.59	NaN	-12.28
BRD-A16700644	CP	isoxsuprine	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	11.11, 11.11	0.77, 0.20	75.37	61.73	-15.45	23.80	45.99	99.20	-99.76	-5.11	NaN	46.57
BRD-K13211965	CP	L-741742	dopamine receptor antagonist	DRD4, DRD3, SCN1A, SCN3A		0.00, 0.00	1.61, 0.43	39.87	-94.41	81.59	-36.59	-67.50	32.39	-89.40	-25.37	NaN	-35.40
BRD-A68039575	CP	liquiritigenin	aromatase inhibitor	CYP19A1		11.11, 11.11	1.30, 0.45	75.23	-75.50	64.66	97.91	-64.27	43.01	-67.25	-27.76	NaN	-45.52
BRD-K88789588	CP	letrozole	aromatase inhibitor, estrogen receptor antagonist	CYP19A1		0.00, 0.00	0.50, 0.11	78.66	-28.96	-26.17	60.59	-53.72	-29.08	-31.79	-30.68	NaN	-12.15
BRD-A50764878	CP	MDL-73005EF	serotonin receptor antagonist, serotonin receptor partial agonist	HTR1A		11.11, 11.11	0.63, 0.07	20.79	10.34	74.69	99.32	49.17	-74.65	-62.19	-16.39	NaN	12.64
BRD-K02867583	CP	minaprine	serotonin uptake inhibitor	HTR2B, SLC6A4, ACHE, CHRM1, DRD1, DRD2, HTR2A, HTR2C, MAOA		0.00, 0.00	1.11, 0.28	50.72	35.34	-20.80	94.59	-37.29	-69.27	-11.71	-31.28	NaN	-16.71
BRD-A30435184	CP	metergoline	dopamine receptor agonist, serotonin receptor antagonist, prolactin inhibitor	DRD2, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7	Serotonin receptor antagonist	0.00, 0.00	1.90, 0.58	-12.93	-97.26	-44.82	-80.34	-38.77	78.17	-85.90	-96.12	NaN	-93.11
BRD-A45543382	CP	metrizamide	iodine contrast agent			11.11, 11.11	0.84, 0.24	81.63	71.63	17.28	99.98	-71.32	-67.50	17.26	58.58	NaN	60.02
BRD-A65280694	CP	molindone	dopamine receptor antagonist	DRD2, HTR2A, CHRM1, DRD5, HRH1, HTR1A		11.11, 0.00	1.01, 0.30	28.15	90.99	-47.50	95.15	48.03	-17.21	54.49	56.74	NaN	63.03
BRD-K21548250	CP	moracizine	sodium channel blocker	SCN5A		0.00, 0.00	1.08, 0.42	75.13	-7.13	12.40	76.96	-41.50	-37.03	-88.74	-39.15	NaN	-16.51
BRD-K62056274	CP	quipazine	serotonin receptor agonist	HTR2A, HTR3A, HTR3B, HTR1A, HTR1D, HTR2B, HTR2C, HTR6, SLC6A4		11.11, 11.11	1.32, 0.41	99.94	78.90	37.36	-18.80	-21.64	43.55	-20.50	79.62	NaN	49.39
BRD-K41143549	CP	BRD-K41143549	glutamate receptor antagonist			0.00, 0.00	1.34, 0.43	80.07	39.73	90.91	33.14	80.07	38.31	60.43	15.24	NaN	76.09
BRD-K26979635	CP	NS-3694	glutamate receptor antagonist	GRIK1		0.00, 0.00	1.36, 0.32	81.37	11.62	-31.78	-12.32	86.99	70.35	78.52	-65.29	NaN	74.47
BRD-A80213327	CP	NSC-23766	RAC1 GTPase inhibitor			0.00, 0.00	0.67, 0.17	23.32	-94.74	-16.07	-40.75	-36.62	90.88	47.32	-15.66	57.29	16.04
BRD-K88172511	CP	naltrexone	opioid receptor antagonist, opioid receptor ligand	OPRK1, OPRM1, OPRD1, SIGMAR1		20.00, 10.00	0.51, 0.15	96.90	-25.94	55.11	97.74	-43.83	-12.87	-23.45	91.55	80.24	86.34
BRD-A19736161	CP	ondansetron	serotonin receptor antagonist	HTR3A, CYP2D6, CYP3A5, HTR1A, HTR1B, HTR3B, HTR4, OPRM1		0.00, 0.00	0.45, 0.02	75.83	-31.34	-32.78	85.58	67.53	-41.06	-54.29	-31.25	-47.53	-13.40
BRD-K50841342	CP	PAC-1	caspase activator	CASP3		0.00, 0.00	2.34, 0.56	-38.44	-40.71	-99.25	-99.67	-95.58	-58.24	-87.82	-98.83	NaN	-96.58
BRD-A70407468	CP	PSB-36	adenosine receptor antagonist	ADORA1, ADORA2A, ADORA2B, ADORA3		0.00, 0.00	1.01, 0.23	52.95	-44.99	20.42	28.59	-91.56	-44.49	-78.00	-21.08	NaN	-26.42
BRD-A59303141	CP	quinethazone	diuretic	CA1, CA2, SLC12A1, SLC12A2, SLC12A3	Na-K-Cl transporter inhibitor	11.11, 0.00	1.09, 0.31	96.63	-45.87	83.94	-50.76	-20.14	-45.71	-13.34	-16.55	NaN	-12.08
BRD-K86600316	CP	RS-79948	adrenoreceptor antagonist			0.00, 0.00	0.88, 0.23	61.51	33.39	32.54	42.89	-43.13	-29.68	-70.89	-17.81	NaN	6.25
BRD-A92585442	CP	RU-28318	cytochrome P450 antagonist	NR3C2		11.11, 11.11	0.86, 0.19	-45.30	94.42	5.26	-19.39	45.74	98.10	-80.55	26.14	NaN	15.28
BRD-A65739223	CP	ramipril	angiotensin converting enzyme inhibitor	ACE		0.00, 0.00	1.52, 0.49	83.97	53.16	-22.62	-23.42	22.21	-50.68	39.46	79.67	NaN	52.05
BRD-K27141178	CP	SB-203186	serotonin receptor antagonist	HTR4		0.00, 0.00	1.80, 0.59	-49.02	-81.05	-78.41	25.21	-87.14	90.18	-34.93	-31.91	NaN	-53.69
BRD-K55748775	CP	SCH-28080	ATPase inhibitor, potassium-competitive acid antagonist	ATP4A		0.00, 0.00	0.70, 0.25	-27.17	-28.41	20.59	27.16	-50.82	-39.86	80.49	-41.17	NaN	-15.85
BRD-A91992993	CP	siguazodan	histamine receptor antagonist, phosphodiesterase inhibitor	PDE3A		44.44, 44.44	1.13, 0.35	87.32	98.91	99.93	99.83	-31.31	-98.70	41.76	-24.59	NaN	98.98
BRD-K46211610	CP	tolazoline	adrenergic receptor antagonist	ADRA2A, ADRA2B, ADRA2C, ADRA1A, HRH1, HRH2		11.11, 0.00	0.48, 0.09	78.78	73.04	96.78	-55.91	90.43	49.46	52.41	36.21	NaN	75.16
BRD-A30717181	CP	triamcinolone	antiinflammatory agent, corticosteroid agonist, corticosteroid binding globulin binder, corticosteroid hormone receptor agonist, cytochrome P450 inhibitor, glucocorticoid receptor agonist, immunosuppressant, immunosuppressive agent	NR3C1, CYP3A5, CYP3A7, SERPINA6		0.00, 0.00	1.36, 0.57	-31.95	-20.63	-61.23	-98.54	-70.59	-92.97	-87.76	11.90	NaN	-90.33
BRD-K11742128	CP	triprolidine	histamine receptor antagonist	HRH1		11.11, 11.11	1.49, 0.60	93.97	-37.17	-90.18	35.68	16.38	-97.74	-84.75	99.00	NaN	-56.90
BRD-A79672927	CP	tropicamide	acetylcholine receptor antagonist, anticholinergic	CHRM3, CHRM4, CHRM1, CHRM2		0.00, 0.00	1.06, 0.39	-73.63	29.52	84.71	-36.47	-89.79	-78.15	23.64	26.41	NaN	-31.88
BRD-K48427617	CP	U-0124	MEK inhibitor			22.22, 11.11	1.41, 0.60	96.97	-54.68	19.22	93.76	42.61	66.68	-80.28	99.84	NaN	88.43
BRD-K47207162	CP	zimelidine	serotonin uptake inhibitor	SLC6A4, MAOA, MAOB		11.11, 11.11	0.98, 0.25	41.47	-38.52	20.72	-73.14	-99.05	98.23	87.34	14.53	NaN	17.06
BRD-A47513740	CP	calyculin	protein phosphatase inhibitor	PPP1CA, PPP1CC, PPP2CA		0.00, 0.00	2.60, 0.66	-92.16	-98.91	-21.31	-52.29	32.75	-98.95	-49.73	-35.66	NaN	-96.19
BRD-K56231354	CP	triprolidine	histamine receptor antagonist	HRH1		44.44, 44.44	1.32, 0.41	27.07	-42.46	-48.43	99.96	98.80	97.85	-65.72	88.42	NaN	99.54
BRD-K89732114	CP	trifluoperazine	breast cancer resistance protein inhibitor, calcium/calmodulin dependent protein kinase inhibitor, dopamine receptor, dopamine receptor antagonist, sodium channel blocker	DRD2, ABCG2, ADRA1A, CALM1, CALY, CAMK2A, DRD4, HRH1, HTR2A, HTR2C, S100A4, SCN4A, SCN9A, TNNC1	Dopamine receptor antagonist	0.00, 0.00	1.24, 0.32	-34.79	-97.96	-78.35	-52.72	-28.37	31.30	-99.01	-17.23	-42.58	-53.64
BRD-A18763547	CP	BAX-channel-blocker	cytochrome C release inhibitor	BAX		0.00, 0.00	2.48, 0.57	35.77	-61.78	-91.95	-88.77	-85.26	84.29	-91.71	-22.06	-99.33	-94.94
BRD-A83255679	CP	BRD-A83255679	estrogen receptor antagonist	GPER1		10.00, 10.00	0.50, 0.09	-39.72	57.98	86.02	78.81	98.47	90.14	87.23	-67.38	47.39	82.62
BRD-K00317371	CP	RITA	MDM inhibitor, thioredoxin reductase inhibitor	MDM2, TXNRD1, TXNRD2	MDM inhibitor	10.00, 10.00	0.65, 0.14	18.61	60.52	15.21	-92.51	48.13	99.60	-56.58	-97.82	36.15	28.53
BRD-K06593056	CP	LE-135	retinoid receptor agonist	RARB		0.00, 0.00	0.53, 0.05	84.21	-79.88	-97.57	-99.66	-96.93	-39.50	-61.81	-98.67	-41.61	-96.02
BRD-K12184916	CP	NVP-BEZ235	mTOR inhibitor, PI3K inhibitor, protein kinase inhibitor	MTOR, PIK3CA, PIK3CG, PIK3CD, ATR, PIK3CB	MTOR inhibitor, PI3K inhibitor	0.00, 0.00	2.02, 0.53	-96.16	-99.72	-99.72	-99.96	-99.81	-79.25	-99.06	-87.92	-79.30	-99.15
BRD-K15563106	CP	phloretin	VCAM expression inhibitor, ICAM1 expression inhibitor	AQP9, CLCN3, SLC23A1		0.00, 0.00	0.17, 0.02	-98.64	-99.85	-99.03	-11.85	-97.89	-97.93	-97.83	85.15	-99.51	-98.98
BRD-K19295594	CP	gossypol	BCL inhibitor, MCL1 inhibitor, 11-beta hydroxysteroid dehydrogenase inhibitor, growth factor receptor modulator, lipid peroxidase inhibitor	BCL2, BCL2L1, MCL1, BCL2L2, CTGF, EGF	BCL inhibitor	10.00, 10.00	1.26, 0.22	-70.68	14.88	-99.53	-96.62	-97.01	44.58	99.77	76.03	-75.64	-91.26
BRD-K20755323	CP	SA-792728	sphingosine kinase inhibitor, ATPase inhibitor	SPHK1, VCP		0.00, 0.00	1.88, 0.68	-99.40	-100.00	-98.26	-80.66	-99.80	-84.29	-68.04	-87.18	-99.55	-99.86
BRD-K26664453	CP	cytochalasin-b	microtubule inhibitor, phagocytosis inhibitor	ACTB		0.00, 0.00	2.51, 0.58	-99.82	-70.07	-99.28	-99.56	-91.50	-85.45	-77.14	-98.52	-39.61	-99.26
BRD-K32536677	CP	AGK-2	SIRT inhibitor, SIRT pathway	SIRT2		40.00, 40.00	0.83, 0.23	98.50	-48.15	67.86	68.44	79.90	-83.28	-48.06	98.60	99.13	98.27
BRD-K36927236	CP	glibenclamide	sulfonylurea, ATP channel blocker, ATP-sensitive potassium channel antagonist, biguanide, gluconeogenesis inhibitor, insulin secretagogue, insulin sensitizer, TRPA1 agonist	KCNJ11, ABCC8, CFTR, KCNJ5, KCNJ8, ABCA1, ABCB11, ABCC9, CPT1A, KCNJ1, SLCO2B1, TRPA1		0.00, 0.00	0.88, 0.11	-85.32	41.99	92.24	94.82	11.15	23.66	-46.40	57.62	30.48	39.80
BRD-K53414658	CP	tivozanib	VEGFR inhibitor, KIT inhibitor, tyrosine kinase inhibitor	FLT1, FLT4, KDR, KIT, PDGFRA, PDGFRB	PDGFR/KIT inhibitor, VEGFR inhibitor	10.00, 10.00	1.91, 0.52	15.55	99.93	-96.07	-86.55	-27.00	-19.10	-53.68	42.52	28.81	-20.44
BRD-K54256913	CP	MK-1775	wee1 kinase inhibitor	WEE1		50.00, 40.00	1.75, 0.60	99.63	94.44	-73.00	-81.87	87.66	99.97	97.29	99.53	83.89	99.01
BRD-K68143200	CP	SA-792541	caspase activator, CDC inhibitor	CASP3, CDC25A, CDC25B		0.00, 0.00	0.84, 0.23	-98.42	-86.70	-99.68	-57.45	-97.03	-97.39	-85.39	-55.13	-99.97	-99.40
BRD-K93176058	CP	AC-55649	RAR agonist, retinoid receptor agonist	RARB, RARA	Retinoid receptor agonist	20.00, 10.00	1.35, 0.26	41.53	70.99	59.10	97.33	33.99	98.91	94.08	52.45	57.31	94.50
BRD-K94325918	CP	kinetin-riboside	apoptosis inducer			0.00, 0.00	2.90, 0.75	92.91	-99.66	-34.21	-92.13	92.35	-42.66	66.88	-85.15	-27.24	-74.73
