master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	cpd_smiles
1788	CIL55	BRD-K46556387	10	probe	NA	screening hit	CN(C)CCNC(=O)c1cc2CSc3cc(Cl)ccc3-c2s1
3588	BRD4132	BRD-K86574132	160	probe	NA	screening hit	CC(C)N1C(=O)S\C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O
12877	BRD6340	BRD-K35716340	33	probe	NA	screening hit	C(Cn1c2ccccc2c2ccccc12)c1nc2ccccc2[nH]1
17712	ML006	BRD-K89692698	530	probe	S1PR3	agonist of sphingosine 1-phosphate receptor 3	C1CN(CCO1)c1nnc(-c2ccccc2)c(n1)-c1ccccc1
18311	Bax channel blocker	BRD-A18763547	33	probe	BAX	inhibitor of BAX-mediated mitochondrial cytochrome c release	OC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12
19153	BRD9876	BRD-K89329876	130	probe	NA	screening hit	CC(C)(C)c1ccc2cc(C#N)c(cc2c1)C#N
23151	tretinoin	BRD-K64634304	130	FDA	RARA;RARB;RARG	agonist of retinoid acid receptors	CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C
23256	betulinic acid	BRD-K45401373	66	probe	NA	natural product; inhibitor of specificity protein 1 transcription factor in cells	CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O
24173	phloretin	BRD-K15563106	590	probe	SLC5A1	natural product; inhibitor of glucose uptake	Oc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1
24197	thalidomide	BRD-A93255169	66	FDA	CRBN	immunomodulatory drug; binder of cereblon	O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12
25036	gossypol	BRD-K19295594	37	clinical	BCL2;BCL2L1;LDHA;LDHB;LDHC	inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members	CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
25334	chlorambucil	BRD-K29458283	270	FDA	NA	DNA alkylator	OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
25344	fluorouracil	BRD-K24844714	130	FDA	TYMS	pyrimidine analog; inhibitor of thymidylate synthase	Fc1c[nH]c(=O)[nH]c1=O
25393	isoliquiritigenin	BRD-K33583600	33	probe	NA	natural product	Oc1ccc(cc1)\C=C\C(=O)c1ccc(O)cc1O
26870	cimetidine	BRD-K34157611	270	FDA	HRH2	inhibitor of histidine receptor H2	CN\C(NCCSCc1nc[nH]c1C)=N/C#N
26874	azacitidine	BRD-K03406345	66	FDA	DNMT1	inhibitor of DNA methyltransferase	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
26914	trifluoperazine	BRD-K89732114	33	FDA	DRD2	antagonist of dopamine receptor D2	CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1
26956	paclitaxel	BRD-A28746609	66	FDA	NA	inhibitor of microtubule assembly	CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1
26972	tamoxifen	BRD-K93754473	100	FDA	ESR1;ESR2	modulator of estrogen receptors	CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1
27871	teniposide	BRD-A35588707	33	FDA	TOP2A;TOP2B	inhibitor of topoisomerase II	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@H](OC3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12
27872	sildenafil	BRD-K50128260	530	FDA	PDE5A	inhibitor of phosphodiesterase 5A	CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4
27894	simvastatin	BRD-K22134346	33	FDA	HMGCR	inhibitor of HMG-CoA reductase	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
28172	parbendazole	BRD-K02407574	66	probe	NA	inhibitor of microtubule assembly	CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1
28183	procarbazine	BRD-K13032584	66	FDA	NA	inducer of DNA damage	CNNCc1ccc(cc1)C(=O)NC(C)C
28452	curcumin	BRD-K74148702	170	clinical	NA	natural product; modulator of ROS; modulator of NF-kappa-B signaling	COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
28784	ciclopirox	BRD-K13044802	66	FDA	RRM1	substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase	Cc1cc(C2CCCCC2)n(O)c(=O)c1
28801	epigallocatechin-3-monogallate	BRD-K55591206	300	probe	NA	natural product	Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1
29985	myricetin	BRD-K43149758	66	probe	NA	flavonoid antioxidant	Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O
