Gene	Coef	Pvalue	FDR	WTmean	MUT_driver_mean	MUTminusWT_diff	WT_samples	MUT_driver_samples	text	Significant	Significant2
TP53	3.95823225815893	2.02461541635216e-18	6.68123087396213e-17	-3.05735281292168	3.9620160257067	7.01936883862838	7783	831	yes	Pos	Pos
PIK3CA	-2.33277553901478	1.1045312624904e-05	0.000182247658310916	-1.53649603249999	3.63129140000314	5.16778743250312	9019	514	yes	Pos	Neg
EGFR	10.930179693133	3.62050967229269e-05	0.000398256063952195	-1.25891744088204	0.32565344749369	1.58457088837573	9478	17	yes	Pos	Pos
HRAS	-5.3820073768311	0.00645906007916452	0.0532872456531073	-1.07795837862384	-3.67038461868998	-2.59242624006614	9637	31	no	Not Sig	Not Sig
IDH1	-2.38006671197557	0.00860518418269775	0.0567942156058052	-0.72334837822727	-20.6100857262438	-19.8867373480165	9416	237	no	Not Sig	Not Sig
RB1	5.44713066980778	0.0344264758507341	0.181638637419644	-1.38626230000938	15.6945618975162	17.0808241975256	9532	18	no	Not Sig	Not Sig
PTEN	3.4655647463768	0.0385294079375003	0.181638637419644	-1.27295050996347	9.6262667614046	10.8992172713681	9452	44	no	Not Sig	Not Sig
FGFR3	5.15849015691069	0.0536957355749808	0.221494909246796	-1.20350146172858	12.0836728852226	13.2871743469512	9645	17	no	Not Sig	Not Sig
CTNNB1	2.47008203637065	0.0702005235696508	0.257401919755386	-1.18166833923205	-2.48580764051436	-1.3041393012823	9559	68	no	Not Sig	Not Sig
AKT1	5.56014202000813	0.0905568018061498	0.298837445960294	-1.17965059243315	3.7954307221027	4.97508131453584	9674	11	no	Not Sig	Not Sig
ERBB3	4.51421309342923	0.111037608029576	0.327630306894005	-1.28456494674599	17.9894396780883	19.2740046248343	9583	15	no	Not Sig	Not Sig
GNAS	-3.65339937792037	0.127186665950821	0.327630306894005	-1.27711106024883	-6.13461288610833	-4.8575018258595	9546	21	no	Not Sig	Not Sig
SF3B1	-2.95475639542324	0.129066484534002	0.327630306894005	-1.14750425998705	-7.97596367498847	-6.82845941500143	9583	35	no	Not Sig	Not Sig
SPOP	3.70730092689834	0.142831276255333	0.336673722601857	-1.09220130439326	-13.9392063064928	-12.8470050020996	9645	19	no	Not Sig	Not Sig
NFE2L2	-2.57492753566089	0.166878297113054	0.347606411425138	-1.23773323771799	6.45004091431435	7.68777415203234	9597	35	no	Not Sig	Not Sig
MTOR	2.99465738954373	0.174219337455024	0.347606411425138	-1.25773629454164	-7.36138429629858	-6.10364800175694	9517	25	no	Not Sig	Not Sig
IDH2	-4.084357111111	0.179069969522041	0.347606411425138	-1.14596780479878	-18.1502723319674	-17.0043045271686	9669	13	no	Not Sig	Not Sig
U2AF1	3.47843082120401	0.218798675421592	0.401130904939585	-1.18355606629575	5.03568990398896	6.21924597028471	9680	15	no	Not Sig	Not Sig
FBXW7	2.10024438000212	0.288306386137143	0.500742670659248	-1.36730131599672	13.894939109632	15.2622404256287	9546	33	no	Not Sig	Not Sig
RHOA	-3.06501607273219	0.311509400388194	0.51399051064052	-1.1898189903909	8.15931085518146	9.34912984557235	9669	13	no	Not Sig	Not Sig
KRAS	-0.82392698920932	0.330144585295452	0.518798634035711	-1.02247278550794	-5.61955078350018	-4.59707799799223	9393	277	no	Not Sig	Not Sig
KIT	-2.12394578647379	0.365675813216685	0.548513719825027	-1.303587335345	16.0162384333909	17.3198257687359	9589	25	no	Not Sig	Not Sig
VHL	1.8063722703723	0.432050223409434	0.619898146630926	-0.772389588639955	-16.1697287837704	-15.3973391951305	9495	24	no	Not Sig	Not Sig
MAPK1	-2.41433814718942	0.486861414252337	0.669434444596963	-1.18756831465485	16.7368572712949	17.9244255859497	9683	10	no	Not Sig	Not Sig
SMAD4	-1.47548922226399	0.537770828298386	0.708884482619715	-1.17650390992758	4.22372225650306	5.40022616643063	9599	21	no	Not Sig	Not Sig
PPP2R1A	1.70344523032061	0.558515046912503	0.708884482619715	-1.21964746330469	11.5459005317577	12.7655479950624	9632	16	no	Not Sig	Not Sig
NRAS	1.25209273687319	0.638323059153475	0.753794502154244	-1.21112297221365	-5.75412157252359	-4.54299860030994	9547	17	no	Not Sig	Not Sig
ERBB2	-0.833485522884933	0.639583213949056	0.753794502154244	-1.24732518685965	7.35821474431484	8.6055399311745	9585	38	no	Not Sig	Not Sig
GNAQ	1.05717099156846	0.690290404458233	0.785502874038679	-1.13080598539433	-12.4529586553107	-11.3221526699163	9644	29	no	Not Sig	Not Sig
CHEK2	-0.431385794185751	0.868487401220567	0.955336141342624	-1.16897047020206	-11.5277848584656	-10.3588143882635	9626	18	no	Not Sig	Not Sig
CDKN2A	-0.12686554225102	0.931242711581975	0.960836516218904	-1.35198113716714	5.54116074283694	6.89314188000408	9482	58	no	Not Sig	Not Sig
GNA11	-0.211221000140603	0.931720258151665	0.960836516218904	-1.12679220516359	-13.3355766028033	-12.2087843976397	9654	35	no	Not Sig	Not Sig
BRAF	-0.0421483548511199	0.985465799990422	0.985465799990422	-0.738065641779713	-8.33436818011811	-7.59630253833839	9201	23	no	Not Sig	Not Sig
