Gene	Coef	Pvalue	FDR	WTmean	MUTmean	MUTminusWT_diff	WT_samples	MUT_samples
TP53	4.42013077225611	1.59120573235107e-46	2.32141004292698e-42	-3.05735281292168	6.54913572793528	9.60648854085696	7783	1938
CDH1	-6.5413419583407	5.94841601719905e-16	4.33907206374584e-12	-1.13001800074326	-1.73641244692637	-0.606394446183115	9526	195
RB1	6.15149218770597	2.3837592498003e-14	1.15922212317788e-10	-1.38626230000938	11.1677266743838	12.5539889743932	9532	189
FAT3	2.85595173868569	8.09459142903232e-09	2.95229985895381e-05	-1.63434767399882	6.95513497718898	8.58948265118779	9164	557
RYR1	2.85809570810238	3.89136861601634e-08	0.000113542353478125	-1.55266663727272	6.60749794084021	8.16016457811293	9232	489
ZIC1	5.65058665991337	6.72453871649319e-08	0.000163507158891532	-1.28986187848324	11.6434301801177	12.9332920586009	9610	111
ASH1L	4.28609002338712	8.86254821476611e-08	0.00018470816557889	-1.31722247827817	7.54510986084277	8.86233233912094	9529	192
MLL2	2.84484396130161	4.01927664261547e-07	0.000732965336738963	-1.55545221915122	7.91954570570273	9.47499792485394	9297	424
TTN	1.49482080306593	5.70303994426491e-07	0.000924462774965342	-2.58407419778038	4.85970348378742	7.4437776815678	7838	1883
COL22A1	3.18283883065478	1.13788014350228e-06	0.00160176329961368	-1.43417094818965	8.15509893397499	9.58926988216465	9425	296
SCN2A	3.58569229477414	1.28172237795864e-06	0.00160176329961368	-1.36939505989996	8.27574675257443	9.64514181247439	9492	229
PTPRZ1	3.80864265597866	1.31751042534541e-06	0.00160176329961368	-1.32887518112837	7.79094257524346	9.11981775637184	9522	199
PTPRF	4.1708432875155	1.64679364789722e-06	0.00184808250224404	-1.33105390283396	10.0024219441909	11.3334758470248	9559	162
ABCC5	5.13722779507787	1.8187441349827e-06	0.00189526129894733	-1.25198010778411	9.01096917623913	10.2629492840232	9617	104
ATP10D	4.3541385708184	2.1787052791667e-06	0.00191498001362608	-1.30610195032198	9.60804295960341	10.9141449099254	9575	146
WDR52	5.06809773091681	2.22745291264875e-06	0.00191498001362608	-1.24720828939912	8.47621912981912	9.72342741921823	9616	105
ZNF831	3.17294450200631	2.23145248006329e-06	0.00191498001362608	-1.4101169135793	7.57124382667413	8.98136074025344	9431	290
PLCG1	5.23476102800989	2.42440219085414e-06	0.00196497797568728	-1.25286383312789	9.72608942815127	10.9789532612792	9623	98
PKD1L1	3.31882362602425	2.56314060375437e-06	0.00196808727727224	-1.35795640439717	6.9327246426939	8.29068104709108	9468	253
OBSCN	2.26546150646713	2.77408470903587e-06	0.00202355609100621	-1.53916148377425	5.18389928545681	6.72306076923106	9147	574
CSMD3	2.06337873720269	3.60396557906382e-06	0.00250372637299819	-1.79249929029927	7.20000952729433	8.9925088175936	9018	703
KCNMA1	4.34122191400758	4.09857722506951e-06	0.00262746069293831	-1.2978798113991	9.6697850029471	10.9676648143462	9583	138
NR1D2	7.583334886131	4.30509959475399e-06	0.00262746069293831	-1.20980250932122	13.729704101603	14.9395066109243	9677	44
COBL	4.51033329338271	4.32237004801696e-06	0.00262746069293831	-1.28185555965883	9.40921525303855	10.6910708126974	9594	127
MUC16	1.60830929126152	4.70781893089893e-06	0.00268660610038214	-1.97760497107526	4.49858802859912	6.47619299967438	8467	1254
TRRAP	3.14126121815909	4.93870957061719e-06	0.00268660610038214	-1.41490459773528	8.47739276179382	9.8922973595291	9453	268
PDILT	5.03192672187435	5.15279850740408e-06	0.00268660610038214	-1.25853405008639	10.0520419365031	11.3105759865895	9621	100
