Cohort	Sample number	P-value	FDR-adjusted p-value
MESO	86	2.37130363600624e-06	7.58817163521996e-05
ACC	79	6.82303296095643e-06	0.000109168527375303
LGG	514	0.000680661026198792	0.00726038427945378
BRCA	1093	0.00272457267384885	0.0167882108985567
LUAD	496	0.00283232032060821	0.0167882108985567
PAAD	178	0.00314778954347938	0.0167882108985567
KICH	65	0.0038960041399051	0.0178103046395662
UVM	80	0.00558029779533176	0.022321191181327
LUSC	490	0.0252522007587224	0.0897856026976795
KIRC	533	0.0564665047201591	0.180692815104509
THYM	119	0.0954002934395171	0.277528126369504
KIRP	287	0.111705722129985	0.297881925679961
LAML	163	0.127661601378703	0.31424394185527
GBM	152	0.166858282906714	0.381390360929632
THCA	500	0.196027535496779	0.405775947961736
SARC	259	0.202887973980868	0.405775947961736
CHOL	36	0.222635782896935	0.418812246243269
SKCM	103	0.238873418426699	0.418812246243269
PCPG	179	0.249339270241738	0.418812246243269
UCEC	175	0.261757653902043	0.418812246243269
ESCA	184	0.301807626594638	0.459897335763257
UCS	57	0.388176847143861	0.564620868572889
PRAD	497	0.513980979814	0.681072290672625
HNSC	519	0.518125223074032	0.681072290672625
LIHC	370	0.532087727087988	0.681072290672625
OV	301	0.56571155459171	0.696260374882105
COADREAD	377	0.631445121445158	0.724212289077659
STAD	408	0.642579836563563	0.724212289077659
TGCT	134	0.656317386976629	0.724212289077659
DLBC	48	0.718172045143153	0.76605018148603
CESC	304	0.901730034499487	0.930818100128502
BLCA	407	0.97157496333019	0.97157496333019
